HPPHHPHHPPHPPH,14,7,3,0.7777777777777778,0.75
PHPPPPPHHHHHPH,14,4,2,2.75,2.5
HHPPPPHHPHHHPP,14,7,3,1.1428571428571428,1.3333333333333333
HPPHPHHHPPPPHH,14,7,3,1.2857142857142858,1.3333333333333333
PPPHPHPHHPPHHH,14,4,2,2.75,2.5
PPHPPHHPPPHHHH,14,7,3,0.875,0.75
HHHPPPPHPPHPHH,14,7,3,0.7777777777777778,0.75
PPPPHPHHHPHHPH,14,7,3,0.875,0.75
HPHPHPPHPPHPHH,14,5,2,0.45454545454545453,0.4
PHPHHPPHPPHHPH,14,4,2,2.75,2.5
HPPHPPHHHHPPHP,14,6,3,0.6666666666666666,0.75
PPHHPHPHHHHPPP,14,6,3,1.3333333333333333,1.3333333333333333
HPPHHPHPPHPPHH,14,7,3,0.7777777777777778,0.75
HHPPPHHHPPHHPP,14,7,3,1.1428571428571428,1.3333333333333333
HPHHHPPPPPHHHP,14,4,2,0.36363636363636365,0.4
HPHPPPHHHPHPPH,14,5,2,0.45454545454545453,0.4
HPPHPHHHHPHPPP,14,6,3,0.6666666666666666,0.75
HHHPPHHPHPPPPH,14,7,3,0.7777777777777778,0.75
HPPPPHPPHHHPHH,14,7,3,0.7777777777777778,0.75
PHPHHHPHPHPPPH,14,2,1,6.5,6.0
HHPPPHPPHHPHHP,14,7,3,1.1428571428571428,1.3333333333333333
HHPHHPPPPHHPPH,14,7,3,1.2857142857142858,1.3333333333333333
PHHPHHPPHHPPHP,14,6,3,0.75,0.75
PHHHHHHPPPHPPP,14,6,3,0.75,0.75
HPHPHPHPPHPHHP,14,4,2,0.36363636363636365,0.4
PPHPHHHPPPHPHH,14,5,2,0.5,0.4
HPHPHHHPHPHPPP,14,2,1,0.15384615384615385,0.16666666666666666
HHPPHHPPPPHHPH,14,7,3,1.2857142857142858,1.3333333333333333
HPPHHPHPHHPHPP,14,6,3,0.6666666666666666,0.75
HPPPPHHHHHPPHP,14,6,3,0.6666666666666666,0.75
HPHHPHPPHPPHHP,14,6,3,0.6666666666666666,0.75
