protein,theo_score,high_score,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
PPHHPHPHHHHHPH,6,5,6,3,2.1666666666666665,2.0,1,0,1,1,0,2,1,3
HPPHHHPHHHPHHP,9,6,9,4,1.1111111111111112,1.25,1,1,1,1,0,2,1,2
HHHPHHPPPHPHHH,9,6,9,4,1.2222222222222223,1.25,2,1,0,1,1,1,0,3
PHHHHPPHPPHHHH,8,6,8,4,1.375,1.25,1,1,0,2,1,1,1,2
HHHHHPHHHPPHPP,8,5,8,4,0.7272727272727273,0.8,2,1,2,0,1,1,1,1
PHHPHHHHHPPHPH,8,6,8,4,1.375,1.25,1,1,2,0,1,1,1,2
PPHPHHHHHHHPHP,6,4,6,3,0.5,0.5,1,1,2,2,0,1,1,1
HPHHPPHHHHPHHP,8,6,8,4,0.7272727272727273,0.8,2,0,2,1,0,1,1,2
PHHHPPHHHPHHHP,8,5,8,4,0.8,0.8,1,0,2,2,1,1,1,1
PHHPPHHHHHHPPH,8,6,8,4,1.375,1.25,1,0,2,1,1,1,1,2
PHHHHHHHPPHPPH,8,5,8,4,1.375,1.25,1,1,1,1,1,2,1,1
HPHPHHHHHPHPPH,7,6,7,3,0.5384615384615384,0.5,2,1,2,1,0,1,1,1
HHHHHPHHPPHPPH,9,6,9,4,0.8181818181818182,0.8,2,1,1,1,1,1,1,1
HHHPPHHHPHPHHP,9,6,9,4,1.1111111111111112,1.25,2,0,1,1,1,1,1,2
HHPHHHHPHPPPHH,9,6,9,4,0.8181818181818182,0.8,1,1,2,1,1,2,0,1
PHHPPPHHHHHPHH,9,5,9,4,0.9,0.8,1,0,2,2,1,0,1,2
HHHHPPHHPPHPHH,9,6,9,4,0.8181818181818182,0.8,2,0,1,2,1,1,1,1
PHHHHPHPHPHHHP,6,5,6,3,0.5,0.5,1,1,2,2,1,1,0,1
HPPHHHPHHPHHPH,9,6,9,4,1.2222222222222223,1.25,1,1,1,1,0,2,1,2
HPPHPHPPHHHHHH,9,6,9,4,1.2222222222222223,1.25,1,0,1,2,0,2,0,3
