duration 23,22.23864507675171,"[52906, 23428, 6427, 1430, 161, 11, 0]",HPHPHHPHPPHHPP
duration 24,21.335763931274414,"[70043, 12544, 1486, 250, 40, 0, 0]",PHHHPPPPHHHPHP
duration 25,20.57127594947815,"[63289, 17041, 3133, 900, 0, 0, 0]",PHHHPPHHHHPPPP
duration 26,21.862619161605835,"[50865, 25961, 6529, 907, 92, 9, 0, 0]",HPHPPHPPHPPHHH
duration 27,22.326470851898193,"[72400, 11499, 464]",PHPHHHPPPHPHPH
duration 28,23.233843088150024,"[47223, 28350, 7408, 1268, 113, 1, 0]",HPHHHPPHPHPPHP
duration 29,21.15167999267578,"[51967, 26050, 5293, 1053, 0, 0, 0]",PPHHHPHHPHHPPP
duration 30,21.11153793334961,"[56134, 24287, 3542, 366, 34, 0, 0, 0]",HHHHPPPPPHPPHH
duration 31,20.492725133895874,"[46288, 28045, 9075, 955, 0, 0, 0]",PPPPPHPPHHHHHH
duration 32,21.76595687866211,"[59585, 21593, 2861, 316, 8]",PPHHPHPHHHPPPH
duration 33,21.985452890396118,"[43732, 28475, 10360, 1599, 189, 8, 0]",HPHHPHPPHHPPHP
duration 34,21.91789484024048,"[48727, 26150, 8384, 1075, 27, 0, 0, 0]",HPHHPHPPPHPHHP
duration 35,22.20792818069458,"[62725, 17642, 3536, 416, 42, 2]",HPPPPHPHPHPHHH
duration 36,21.07275700569153,"[49937, 27845, 5702, 762, 117, 0, 0]",HHHHPPHPHHPPPP
duration 37,21.58340096473694,"[45953, 28953, 7926, 1347, 171, 13, 0, 0]",PPHPHHHHPPHPPH
duration 38,21.155255794525146,"[70715, 12174, 1321, 153, 0]",PPPHHHPHPPPHHH
duration 39,21.00965690612793,"[59224, 20091, 4562, 486, 0]",PPHPHHHPHHHPPP
duration 40,22.598198890686035,"[50747, 24139, 7346, 1856, 264, 11, 0]",HPHPHHPHPHPPHP
duration 41,21.65423893928528,"[52559, 23876, 6410, 1291, 227, 0, 0]",HPHPPHHHPHHPPP
duration 42,22.57395601272583,"[45232, 28823, 8789, 1326, 177, 16]",HPPHPHPPHHPHPH
duration 43,21.253791093826294,"[66192, 14364, 3569, 196, 42, 0, 0]",PHHPPPPHHPPHHH
duration 44,21.539333820343018,"[55273, 23861, 4553, 636, 38, 2, 0]",PHHPHPPHHHPPHP
duration 45,21.05884099006653,"[51899, 24556, 7060, 848, 0, 0, 0]",PPHPHHPHHHHPPP
duration 46,22.188385009765625,"[58068, 21047, 4491, 687, 68, 2, 0, 0]",HHPPHPPPHHPHPH
duration 47,21.07005000114441,"[58342, 22853, 2913, 226, 29, 0, 0]",PHHPPHPPPPHHHH
duration 48,22.0885169506073,"[46258, 28543, 7995, 1395, 154, 16, 2, 0]",HPPHHPPHHPPHPH
duration 49,21.213891983032227,"[59686, 19448, 4491, 663, 75, 0, 0]",PPHHPPHHHHPPPH
duration 50,20.991482973098755,"[49252, 29436, 5326, 314, 35, 0, 0]",HPPHPPPPHHHHHP
duration 51,21.070096015930176,"[63971, 17713, 2256, 423, 0]",PHHHPHPHHHPPPP
duration 52,22.027687072753906,"[52413, 25876, 5384, 599, 91, 0, 0, 0]",PPHPHHPHHPPPHH
duration 53,21.671088933944702,"[51659, 27021, 4988, 599, 96, 0, 0, 0]",HPHHHPPPPPHHPH
duration 54,21.664028882980347,"[57109, 23510, 3226, 479, 39, 0]",HHPPPPPHPHHHPH
duration 55,23.51432204246521,"[56589, 22942, 4177, 598, 57, 0, 0]",PHHPHPPHHHPHPP
duration 56,22.74555993080139,"[64571, 17431, 1862, 416, 83, 0, 0, 0]",HHHPPPPPPHHHPH
duration 57,23.46489691734314,"[48937, 27678, 6812, 896, 38, 2, 0, 0]",HPPHPPPHPHHHHP
duration 58,23.627715826034546,"[58741, 19943, 4933, 711, 35, 0, 0, 0]",PHHHHPHPHPPPPH
duration 59,24.78837299346924,"[57864, 19512, 5500, 1362, 122, 3, 0, 0]",HPHPHHPHPPPHPH
duration 60,23.78494095802307,"[67800, 13645, 2752, 164, 2]",PHHHPPHHPPPHPH
duration 61,23.78062605857849,"[59251, 19528, 4811, 699, 70, 4, 0, 0]",HHPPHHPPPHPPHH
duration 62,23.586699962615967,"[52576, 25178, 5638, 926, 45, 0]",HHPHPHHHPPPHPP
duration 63,23.311478853225708,"[39979, 30463, 12002, 1718, 201, 0, 0]",HPHHPHHPHHPPPP
duration 64,24.27741503715515,"[60337, 19593, 3636, 675, 114, 8, 0]",PPHPHHHPPHPHPH
duration 65,24.075308084487915,"[44972, 30204, 7874, 1199, 110, 4, 0, 0]",HPPPPHPHPHHPHH
duration 66,23.752434968948364,"[61560, 19345, 2953, 475, 30, 0]",HHPPPHPHHHPPPH
duration 67,23.69730496406555,"[55390, 23406, 4945, 579, 37, 6, 0]",PHHPHPHHHPPHPP
duration 68,22.104216814041138,"[58084, 21645, 4090, 530, 14]",PHPHHPPHHHPHPP
duration 69,22.538937091827393,"[36105, 33794, 11812, 2279, 346, 26, 1, 0]",HPPHHPHHPPHPPH
duration 70,22.468976974487305,"[51965, 26056, 6233, 109, 0]",PHPPPPPHHHHHPH
