protein,theo_score,high_score,percent_high,high_SA,iterations,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
PHHPHHPPHHHHPH,8,6,0.004741415,-6,18467,8,4,1.375,1.25,1,1,1,1,1,1,0,3
PHHPHPHPHHPHHH,9,6,0.001185354,-6,14945,9,4,0.9,0.8,1,1,2,1,1,0,0,3
PHHPPHHHHHHPPH,8,6,0.003556061,-6,12304,8,4,1.375,1.25,1,0,2,1,1,1,1,2
PHHPPPHHHHHPHH,9,5,0.047414151,-5,128,9,4,0.9,0.8,1,0,2,2,1,0,1,2
PHHPPPHHPHHHHH,8,5,0.020151014,-5,2196,8,4,1.375,1.25,1,0,1,2,1,0,1,3
PHHPPPHPHHHHHH,9,5,0.026077783,-5,237,9,4,0.9,0.8,1,0,2,2,1,0,0,3
PHPHHHHPPHHHPH,6,5,0.037931321,-5,53,6,3,2.166666667,2,0,1,1,1,1,2,0,3
PHPHHHHPPHHPHH,8,6,0.004741415,-6,2936,8,4,1.375,1.25,0,1,1,2,1,2,0,2
PHPHHPHHPHHHHP,8,5,0.048599505,-5,39,8,4,1.25,1.25,0,1,1,2,1,1,1,2
PHPHPHHHHPHHPH,6,5,0.041487382,-5,89,6,3,2.166666667,2,0,0,2,1,1,2,1,2
PHPPHHHHHHPPHH,8,6,0.001185354,-6,138,8,4,1.375,1.25,0,1,2,1,1,1,1,2
PHPPHHHHHPPHHH,8,5,0.056896981,-6,79,8,4,1.375,1.25,0,1,2,1,1,1,1,2
PHPPHHPHHHHHHP,8,5,0.029633844,-5,327,8,4,1.25,1.25,0,1,1,2,1,1,1,2
PPHHHHHPHHHPPH,9,5,0.131574268,-5,264,9,4,0.9,0.8,1,1,2,1,0,2,0,2
PPHHHHHPHPHHPH,9,6,0.004741415,-6,65,9,4,0.9,0.8,1,1,2,1,0,2,0,2
PPHHPHPHHHHHPH,6,5,0.02844849,-5,2086,6,3,2.166666667,2,1,0,1,1,0,2,1,3
PPHPHHHHHHHPHP,6,4,0.277372782,-4,73,6,3,0.5,0.5,1,1,2,2,0,1,1,1
PPHPHPHHHHHHHP,6,4,0.194398018,-4,201,6,3,0.5,0.5,1,1,2,2,0,0,1,2
PPHPHPHHHHPHHH,9,6,0.008297476,-6,1096,9,4,0.9,0.8,1,1,2,1,0,0,1,3
PPPHHHHHHHHHPP,8,4,0.270260659,-4,165,8,4,1.25,1.25,0,1,2,1,0,2,1,2
PPPHPHPHHHHHHH,6,4,0.229958631,-4,15,6,3,2.166666667,2,0,0,1,2,0,2,1,3
