protein,theo_score,high_score,percent_high,min_bond,min_count,odd_even_bond,odd_even_count,even1,even2,even3,even4,odd1,odd2,odd3,odd4
PHHHHPHPHPPHHH,9,6,0.007112122612993848,9,4,0.9,0.8,1,1,2,1,1,1,0,2
HHHHHPHPPHHHPP,8,5,0.052155565828621554,8,4,0.7272727272727273,0.8,2,1,1,1,1,1,0,2
HHPHHHPPHHPHHP,9,6,0.007112122612993848,9,4,1.1111111111111112,1.25,1,1,1,1,1,2,0,2
HHHHHPPHPPHHPH,9,6,0.010668183919490771,9,4,1.2222222222222223,1.25,2,1,0,1,1,1,1,2
HPHPHPHHHHPHPH,9,7,0.002370707537664616,9,4,0.8181818181818182,0.8,2,1,2,0,0,0,1,3
HHPHPPHHHHHPHP,8,6,0.010668183919490771,8,4,0.7272727272727273,0.8,1,0,2,2,1,1,1,1
PHHPPPHPHHHHHH,9,5,0.026077782914310777,9,4,0.9,0.8,1,0,2,2,1,0,0,3
HPHHPHHHHPPPHH,9,6,0.007112122612993848,9,4,0.8181818181818182,0.8,2,0,2,1,0,2,1,1
HPHHPHHHHHPHPP,9,5,0.2264025698469708,9,4,1.1111111111111112,1.25,2,0,2,0,0,2,1,2
HHHPHHHPHHPHPP,8,5,0.16594952763652313,8,4,0.7272727272727273,0.8,2,1,2,0,1,1,0,2
PHHHHHPPPHHPHH,8,5,0.01778030653248462,8,4,1.375,1.25,1,1,0,2,1,2,0,2
PPHHPHPHHHHHPH,6,5,0.02844849045197539,6,3,2.1666666666666665,2.0,1,0,1,1,0,2,1,3
HPPHHHPHHHPHHP,9,6,0.013038891457155389,9,4,1.1111111111111112,1.25,1,1,1,1,0,2,1,2
HHHPHHPPPHPHHH,9,6,0.002370707537664616,9,4,1.2222222222222223,1.25,2,1,0,1,1,1,0,3
PHHHHPPHPPHHHH,8,6,0.003556061306496924,8,4,1.375,1.25,1,1,0,2,1,1,1,2
HHHHHPHHHPPHPP,8,5,0.0580823346727831,8,4,0.7272727272727273,0.8,2,1,2,0,1,1,1,1
PHHPHHHHHPPHPH,8,6,0.003556061306496924,8,4,1.375,1.25,1,1,2,0,1,1,1,2
PPHPHHHHHHHPHP,6,4,0.27737278190676007,6,3,0.5,0.5,1,1,2,2,0,1,1,1
HPHHPPHHHHPHHP,8,6,0.002370707537664616,8,4,0.7272727272727273,0.8,2,0,2,1,0,1,1,2
PHHHPPHHHPHHHP,8,5,0.05571162713511848,8,4,0.8,0.8,1,0,2,2,1,1,1,1
PHHPPHHHHHHPPH,8,6,0.003556061306496924,8,4,1.375,1.25,1,0,2,1,1,1,1,2
PHHHHHHHPPHPPH,8,5,0.05334091959745386,8,4,1.375,1.25,1,1,1,1,1,2,1,1
HPHPHHHHHPHPPH,7,6,0.016594952763652315,7,3,0.5384615384615384,0.5,2,1,2,1,0,1,1,1
HHHHHPHHPPHPPH,9,6,0.009482830150658464,9,4,0.8181818181818182,0.8,2,1,1,1,1,1,1,1
HHHPPHHHPHPHHP,9,6,0.007112122612993848,9,4,1.1111111111111112,1.25,2,0,1,1,1,1,1,2
HHPHHHHPHPPPHH,9,6,0.007112122612993848,9,4,0.8181818181818182,0.8,1,1,2,1,1,2,0,1
PHHPPPHHHHHPHH,9,5,0.04741415075329232,9,4,0.9,0.8,1,0,2,2,1,0,1,2
HHHHPPHHPPHPHH,9,6,0.020151014070149235,9,4,0.8181818181818182,0.8,2,0,1,2,1,1,1,1
PHHHHPHPHPHHHP,6,5,0.008297476381826157,6,3,0.5,0.5,1,1,2,2,1,1,0,1
HPPHHHPHHPHHPH,9,6,0.02370707537664616,9,4,1.2222222222222223,1.25,1,1,1,1,0,2,1,2
HPPHPHPPHHHHHH,9,6,0.01778030653248462,9,4,1.2222222222222223,1.25,1,0,1,2,0,2,0,3
